cat,Class_num,area,perimeter,compact,opt_blue_min,opt_blue_max,opt_blue_range,opt_blue_mean,opt_blue_stddev,opt_blue_sum,opt_blue_median,opt_green_min,opt_green_max,opt_green_range,opt_green_mean,opt_green_stddev,opt_green_sum,opt_green_median,opt_nir_min,opt_nir_max,opt_nir_range,opt_nir_mean,opt_nir_stddev,opt_nir_sum,opt_nir_median,opt_red_min,opt_red_max,opt_red_range,opt_red_mean,opt_red_stddev,opt_red_sum,opt_red_median,NDVI_min,NDVI_max,NDVI_range,NDVI_mean,NDVI_stddev,NDVI_sum,NDVI_median,Brightness_min,Brightness_max,Brightness_range,Brightness_mean,Brightness_stddev,Brightness_sum,Brightness_median,nDSM_min,nDSM_max,nDSM_range,nDSM_mean,nDSM_stddev,nDSM_sum,nDSM_median
17201318,12,5.25000000093,17,2.09297643027,191,270,79,224.380952381,18.2847221953,4712,222.0,224,353,129,283.952380952,26.0904583735,5963,282.0,583,777,194,658.523809524,47.0051861856,13829,647.0,144,351,207,242.333333333,43.6886531344,5089,236.0,0.361237496138,0.62790697813,0.266669481993,0.465143154065,0.0627609520191,9.76800623536,0.461187,559,974,415,750.666666667,86.8020919944,15764,735.0,0.326812744141,0.364379882812,0.0375671386719,0.356802804129,0.00745807904216,7.49285888672,0.35849
17209309,34,3824.74999999,2533,11.5539033724,200,390,190,259.249558795,12.8691321398,3966259,259.0,255,571,316,357.763579319,23.6044681675,5473425,359.0,605,1184,579,872.366690633,57.676826421,13346338,874.0,186,737,551,342.725145434,36.7558987597,5243352,343.0,0.229079499841,0.596091210842,0.367011711001,0.436404422751,0.0406272174418,6676.55126368,0.433929,641,1698,1057,959.738283548,70.5604014454,14683036,962.0,-0.753173828125,15.224029541,15.9772033691,0.224029554979,0.837299405573,3427.42816162,0.00424194
17180420,22,1928.25000005,1616,10.3813720198,253,448,195,365.827952807,22.0715592248,2821631,366.0,333,674,341,550.23246467,37.7655534476,4243943,550.0,730,1173,443,942.651238169,64.485328224,7270669,945.0,418,893,475,705.910151692,57.3563569584,5444685,707.0,0.0605714283884,0.300824165344,0.240252736956,0.143997688937,0.0262281483465,1110.65417477,0.140506,1028,1986,958,1621.97056917,113.48768079,12510259,1625.0,-0.104736328125,0.774139404297,0.878875732422,0.148514349853,0.142584412372,1145.49118042,0.118805
17155326,31,71.7499999991,56,1.86497125468,213,300,87,243.707317073,13.6230250155,69944,241.0,265,431,166,318.331010453,27.3499424486,91361,312.0,713,1184,471,914.344947735,82.1283700336,262417,910.0,175,434,259,254.975609756,37.963435061,73178,247.0,0.372832357883,0.663366317749,0.290533959866,0.564069235989,0.0499202071752,161.887870729,0.569337,653,1165,512,817.013937282,77.7202152693,234483,798.0,0.142944335938,2.62054443359,2.47760009766,1.44127407805,0.596709499011,413.6456604,1.68466
17157734,31,969.000000006,446,4.04173688894,181,286,105,229.575077399,13.5205492084,889833,230.0,210,422,212,302.003869969,26.1020509632,1170567,302.0,626,1407,781,997.76496388,95.7471931462,3867337,999.0,106,393,287,238.949174407,37.1815303479,926167,240.0,0.448566615582,0.795379519463,0.346812903881,0.613666220807,0.0485641106071,2378.57027185,0.614742,500,1101,601,770.528121775,74.8195454373,2986567,772.0,-16.0390625,335.491790771,351.530853271,4.47072169065,30.3546785733,17328.5172729,0.00149536
17149081,51,3.75,11,1.60240436487,197,251,54,220.333333333,14.1594099061,3305,222.0,241,319,78,267.0,22.4142811618,4005,260.0,551,683,132,596.466666667,34.0663405072,8947,589.0,140,280,140,191.266666667,38.8698111935,2869,182.0,0.418483912945,0.633986949921,0.215503036976,0.518217698733,0.0593920469031,7.773265481,0.525692,578,850,272,678.6,74.9931552432,10179,662.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17141973,51,6.25,12,1.35405500051,205,242,37,221.88,9.00364370686,5547,219.0,257,327,70,278.48,16.4684425493,6962,272.0,573,777,204,635.04,48.7495476902,15876,620.0,165,280,115,202.4,27.2161716632,5060,192.0,0.409523814917,0.571428596973,0.161904782057,0.517778067589,0.0366377344448,12.9444516897,0.521912,627,849,222,702.76,52.0686316317,17569,683.0,0.0687255859375,0.345153808594,0.276428222656,0.178736572266,0.0705368081068,4.46841430664,0.197968
17120487,33,615.499999994,254,2.88811682108,238,330,92,282.692120227,12.7475428437,695988,282.0,315,492,177,392.613322502,23.0108218371,966614,390.0,656,995,339,787.275385865,49.3841080233,1938272,781.0,294,577,283,421.04752234,38.9476175527,1036619,419.0,0.184764996171,0.435314685106,0.250549688935,0.3036496329,0.0385391719862,747.5853962,0.301669,847,1399,552,1096.35296507,72.2540767976,2699221,1091.0,-0.116455078125,1.36450195312,1.48095703125,0.151059148372,0.181624136018,371.907623291,0.100632
17109605,33,3220.75,1092,5.42799199648,224,332,108,251.376697974,11.2453079031,3238486,249.0,292,469,177,340.92385314,19.7364500998,4392122,337.0,626,1082,456,778.033687806,48.7326181588,10023408,771.0,260,563,303,342.516805092,32.0605084505,4412644,338.0,0.259210526943,0.519298255444,0.2600877285,0.389231791158,0.0297151254517,5014.47316548,0.389513,784,1364,580,934.817356206,61.6120508202,12043252,924.0,-0.220336914062,1.53695678711,1.75729370117,0.087391636659,0.190412119833,1125.86645508,0.0
17091259,31,340.000000006,127,1.94293973639,174,256,82,221.626470588,12.7296044212,301412,223.0,208,353,145,283.023529412,25.0854311929,384912,284.0,518,1135,617,920.722794118,109.730768426,1252183,939.0,85,311,226,213.3375,34.8618501194,290139,216.0,0.469999998808,0.8133918643,0.343391865492,0.623703205235,0.0449389120524,848.236359119,0.624043,467,913,446,717.9875,71.2656421813,976463,723.0,-0.0205383300781,2.52243041992,2.54296875,1.33511799083,0.698196547005,1815.76046753,1.62222
