cat,area,perimeter,compact,opt_blue_min,opt_blue_max,opt_blue_range,opt_blue_mean,opt_blue_stddev,opt_blue_sum,opt_blue_median,opt_green_min,opt_green_max,opt_green_range,opt_green_mean,opt_green_stddev,opt_green_sum,opt_green_median,opt_nir_min,opt_nir_max,opt_nir_range,opt_nir_mean,opt_nir_stddev,opt_nir_sum,opt_nir_median,opt_red_min,opt_red_max,opt_red_range,opt_red_mean,opt_red_stddev,opt_red_sum,opt_red_median,NDVI_min,NDVI_max,NDVI_range,NDVI_mean,NDVI_stddev,NDVI_sum,NDVI_median,Brightness_min,Brightness_max,Brightness_range,Brightness_mean,Brightness_stddev,Brightness_sum,Brightness_median,nDSM_min,nDSM_max,nDSM_range,nDSM_mean,nDSM_stddev,nDSM_sum,nDSM_median
16630993,2525.5,2099,11.7824015643,236,454,218,338.084240744,21.1915104216,3415327,337.0,295,684,389,514.095228668,38.1334603577,5193390,513.0,439,1178,739,878.061967927,68.6571375383,8870182,878.0,249,983,734,680.439021976,57.7910304554,6873795,682.0,0.0298913046718,0.300000011921,0.270108707249,0.127026570868,0.0248274338416,1283.22241891,0.124442,792,2083,1291,1532.61849139,112.436616988,15482512,1531.0,-0.131286621094,4.63821411133,4.76950073242,0.219609944992,0.752455583384,2218.49966431,0.0
16604596,5.5,13,1.56371310385,214,268,54,240.818181818,15.5698904172,5298,239.5,261,345,84,303.727272727,24.7848594145,6682,299.5,565,803,238,675.863636364,71.2794088937,14869,671.0,197,334,137,272.045454545,41.8563314128,5985,277.0,0.352226734161,0.495518565178,0.143291831017,0.428109797564,0.0383266928612,9.41841554642,0.424816,676,947,271,816.590909091,80.8166606872,17965,813.5,0.71484375,1.04846191406,0.333618164062,0.904037475586,0.0837178536553,19.8888244629,0.930649
16593424,1060.0,366,3.1711969912,239,503,264,385.416273585,37.2482058487,1634165,386.0,368,879,511,639.397877358,73.0758938986,2711047,639.0,576,1431,855,1082.49811321,118.284999193,4589792,1088.0,396,1239,843,887.075471698,112.392002512,3761200,890.0,-0.0245546456426,0.248135253787,0.27268989943,0.100217276206,0.0270178686152,424.921251112,0.0986051,1007,2604,1597,1911.88962264,219.935330516,8106412,1918.0,-0.387542724609,2.93362426758,3.32116699219,0.371331614368,0.517073517934,1574.44604492,0.100006
16590629,16.2499999995,21,1.46956121034,366,560,194,481.184615385,40.9186405924,31277,491.0,572,775,203,690.030769231,50.1578950702,44852,695.0,623,852,229,731.815384615,47.9544310322,47568,733.0,543,810,267,695.030769231,60.5225880861,45177,703.0,-0.0452054776251,0.103039287031,0.148244764656,0.0266295011908,0.0341203552376,1.7309175774,0.0383481,1575,2109,534,1866.24615385,130.564576509,121306,1872.0,0.0,0.00143432617188,0.00143432617188,5.25841346154e-05,0.000227713407111,0.00341796875,0.0
16589059,4.0,8,1.1283791671,227,253,26,243.1875,5.9709583611,3891,243.5,305,368,63,348.0,15.2970585408,5568,349.5,1050,1373,323,1260.75,85.3130265552,20172,1264.5,212,300,88,264.5,20.1649448301,4232,267.5,0.610619485378,0.684605777264,0.0739862918854,0.652978528291,0.0185363560456,10.4476564527,0.655107,744,919,175,855.6875,39.695274829,13691,859.0,3.09664916992,3.53942871094,0.442779541016,3.41807746887,0.131930447173,54.689239502,3.45779
16582614,13.25,19,1.47245058803,224,304,80,258.773584906,16.0819147333,13715,258.0,290,414,124,337.20754717,28.9256421403,17872,337.0,411,630,219,504.943396226,52.6442009185,26762,505.0,197,365,168,267.924528302,33.3499733001,14200,257.0,0.195979893208,0.394777268171,0.198797374964,0.306878067412,0.0474540594379,16.2645375729,0.302578,748,1064,316,863.905660377,70.1061901153,45787,856.0,0.122161865234,2.357421875,2.23526000977,1.96939202075,0.816311225076,104.3777771,2.33533
16557457,68.499999996,66,2.2495399889,222,305,83,262.405109489,11.7355335463,71899,262.0,289,449,160,361.397810219,21.1404443985,99023,361.0,772,1042,270,915.339416058,49.8623446087,250803,915.5,243,492,249,339.364963504,37.6592241902,92986,339.5,0.317548751831,0.591596662998,0.274047911167,0.459711808031,0.0437900744327,125.961035401,0.459915,754,1246,492,963.167883212,68.4170411758,263908,963.0,-0.100036621094,0.420715332031,0.520751953125,0.0115707286083,0.0491236981188,3.17037963867,0.0
16563564,247.750000006,205,3.67402491805,305,432,127,373.091826438,21.3411254746,369734,374.0,434,673,239,560.533804238,42.9085881849,555489,561.0,739,1117,378,949.288597376,57.7082108503,940745,952.0,506,896,390,726.325933401,63.6765898614,719789,729.0,0.0894653275609,0.277142852545,0.187677524984,0.134010669449,0.0229783097863,132.804573424,0.12987,1252,1982,730,1659.95156408,125.371148994,1645012,1661.0,-0.065673828125,1.24887084961,1.31454467773,0.257863372895,0.203621800754,255.542602539,0.267761
16559072,261.750000002,97,1.69131093622,234,312,78,258.366762178,11.9323612423,270510,256.0,306,463,157,352.345749761,19.2083742529,368906,350.0,716,1137,421,924.573065903,75.5143215603,968028,924.0,257,507,250,340.015281757,33.2063928019,355996,336.0,0.262008726597,0.594317257404,0.332308530807,0.460863676829,0.0571861300603,482.52426964,0.465787,820,1252,432,950.727793696,59.1035015714,995412,945.0,-0.0867614746094,1.23934936523,1.32611083984,0.239413752369,0.355193723455,250.66619873,0.0261536
16559167,97.5000000009,80,2.28550800702,256,309,53,281.458974359,9.64243340786,109769,281.0,340,442,102,388.925641026,17.8758427156,151681,388.0,601,850,249,689.787179487,47.7675282876,269017,676.0,392,546,154,464.969230769,25.0170009255,181338,464.5,0.120492525399,0.27182045579,0.151327930391,0.194111338812,0.0280813117909,75.7034221366,0.190456,988,1283,295,1135.35384615,50.7184073506,442788,1132.5,-0.144561767578,0.320007324219,0.464569091797,0.0312834910857,0.0687417673744,12.2005615234,0.0
